district_name,rep_incumbent,dem_incumbent,obama_2012_margin,dem_2014_margin,hillary_2016_margin,dem_2016_margin,elasticity,rep_running,dem_running,dinc14,rinc14,dinc16,rinc16
CA-39,0,0,-0.0385,-0.1555,0.0451,-0.0777,0.95,TRUE,TRUE,0,1,0,1
CA-40,0,1,0.312,0.1415,0.3542,0.3063,1.05,FALSE,TRUE,0,0,1,0
CA-41,0,1,0.1092,0.0955,0.1378,0.1443,0.93,TRUE,TRUE,1,0,1,0
CA-42,1,0,-0.0968,-0.1275,-0.0744,-0.0937,1.04,TRUE,TRUE,0,1,0,1
CA-43,0,1,0.2763,0.2395,0.3133,0.2553,0.97,TRUE,TRUE,1,0,1,0
CA-44,0,1,0.3204,N/A,0.3189,0.4013,0.79,FALSE,TRUE,0,0,0,0
CA-45,1,0,-0.08,-0.1215,-0.0131,-0.0917,0.95,TRUE,TRUE,0,1,0,1
CA-46,0,1,0.0944,0.1265,0.1519,0.2263,0.85,TRUE,TRUE,1,0,0,0
CA-47,0,1,0.0804,0.0895,0.1149,0.1313,0.94,TRUE,TRUE,1,0,1,0
CA-48,1,0,-0.0896,-0.1115,-0.0321,-0.0887,0.99,TRUE,TRUE,0,1,0,1
CA-49,0,0,-0.0626,-0.0725,-0.0041,-0.0087,0.91,TRUE,TRUE,0,1,0,1
CA-50,1,0,-0.1436,-0.1825,-0.1151,-0.1407,0.93,TRUE,TRUE,0,1,0,1
CA-51,0,1,0.1744,0.2175,0.2069,0.2223,1.11,TRUE,TRUE,1,0,1,0
CA-52,0,1,0.0014,0.0455,0.0699,0.0593,0.97,TRUE,TRUE,1,0,1,0
CA-53,0,1,0.0944,0.1175,0.1339,0.1493,0.85,TRUE,TRUE,1,0,1,0
CO-01,0,1,0.1859,0.2238,0.2389,0.2044,0.97,TRUE,TRUE,1,0,1,0
CO-02,0,0,0.0748,0.0969,0.1043,0.0992,1.07,TRUE,TRUE,1,0,1,0
CO-03,1,0,-0.0504,-0.0894,-0.0763,-0.0807,1.14,TRUE,TRUE,0,1,0,1
CO-04,1,0,-0.1184,-0.1593,-0.1375,-0.1732,1.04,TRUE,TRUE,0,0,0,1
CO-05,1,0,-0.1264,-0.0685,-0.1444,-0.1744,1.11,TRUE,TRUE,0,1,0,1
CO-06,1,0,0.0064,-0.0174,0.0375,-0.0501,1.03,TRUE,TRUE,0,1,0,1
CO-07,0,1,0.0563,0.0802,0.055,0.0753,1.09,TRUE,TRUE,1,0,1,0
CT-01,0,1,0.1204,0.1529,0.1057,0.1552,0.97,TRUE,TRUE,1,0,1,0
CT-02,0,1,0.0479,0.1594,0.0042,0.1466,0.95,TRUE,TRUE,1,0,1,0
CT-03,0,1,0.1134,0.1987,0.0694,0.1838,0.99,TRUE,TRUE,1,0,1,0
CT-04,0,1,0.0364,0.0671,0.1084,0.0933,0.98,TRUE,TRUE,1,0,1,0
CT-05,0,0,0.0219,0.0619,0.0103,0.0743,1.03,TRUE,TRUE,1,0,1,0
DE-01,0,1,0.0748,0.1466,0.0489,0.0698,0.93,TRUE,TRUE,1,0,0,0
FL-01,1,0,-0.2186,-0.2365,-0.2291,-0.1967,0.95,TRUE,TRUE,0,1,0,0
FL-02,1,0,-0.2186,0.0234,-0.2051,-0.1981,1.02,TRUE,TRUE,0,1,0,0
FL-03,1,0,-0.1796,-0.1386,-0.1091,-0.0929,1.08,TRUE,TRUE,0,1,0,1
FL-04,1,0,-0.1006,-0.3035,-0.1701,-0.2235,1.02,TRUE,TRUE,0,1,0,0
FL-05,0,1,-0.1916,0.1845,0.1019,0.1363,0.91,TRUE,TRUE,1,0,1,0
FL-06,1,0,0.1164,-0.0955,-0.1121,0.0803,1.01,TRUE,TRUE,0,1,0,1
FL-07,0,1,-0.0434,-0.1348,0.0271,0.0091,1.06,TRUE,TRUE,0,1,0,1
FL-08,1,0,-0.0934,-0.129,-0.1188,-0.1654,1.09,TRUE,TRUE,0,1,0,1
FL-09,0,1,0.105,0.0854,0.0556,0.0692,1.02,TRUE,TRUE,1,0,0,0
FL-10,0,1,-0.0585,-0.086,0.128,0.143,1.01,FALSE,TRUE,0,1,0,0
FL-11,1,0,-0.1136,-0.1371,-0.1771,-0.1798,0.99,TRUE,TRUE,0,1,0,1
FL-12,1,0,-0.0662,N/A,-0.1078,-0.1916,1,TRUE,TRUE,0,0,0,1
FL-13,0,1,-0.012,N/A,0.0056,0.0134,1.03,TRUE,TRUE,0,0,0,1
FL-14,0,1,0.1373,N/A,0.0835,0.1122,0.97,FALSE,TRUE,0,0,1,0
FL-15,0,0,-0.0586,-0.0733,-0.0631,-0.0803,0.97,TRUE,TRUE,0,1,0,1
