district_name,dem_percent_blairvoyance
NY-24,0.427
NY-25,0.623
NY-26,0.588
NY-27,0.5024
NC-01,0.567
NC-02,0.5075
NC-03,0.4471
NC-04,0.5884
NC-05,0.4903
NC-06,0.4574
NC-07,0.4648
NC-08,0.5167
NC-09,0.5405
NC-10,0.4676
NC-11,0.4765
NC-12,0.5528
NC-13,0.508
ND-01,0.438
OH-01,0.4895
OH-02,0.4645
OH-03,0.5179
OH-04,0.4573
OH-05,0.4911
OH-06,0.5221
OH-07,0.4847
OH-08,0.4655
OH-09,0.5012
OH-10,0.489
OH-11,0.6261
OH-12,0.485
OH-13,0.4965
OH-14,0.4775
OH-15,0.5109
OH-16,0.5378
OK-01,0.4482
OK-02,0.4048
OK-03,0.4559
OK-04,0.4776
OK-05,0.4515
OR-01,0.4639
OR-02,0.4144
OR-03,0.4634
OR-04,0.4173
OR-05,0.4056
PA-01,0.498
PA-02,0.5918
PA-03,0.4755
PA-04,0.4634
PA-05,0.5269
PA-06,0.4611
PA-07,0.539
PA-08,0.5366
PA-09,0.5156
PA-10,0.477
PA-11,0.4861
PA-12,0.5316
PA-13,0.5788
PA-14,0.5549
PA-15,0.5032
PA-16,0.4565
PA-17,0.5675
PA-18,0.5186
RI-01,0.4963
RI-02,0.5071
SC-01,0.4926
SC-02,0.5171
SC-03,0.4586
SC-04,0.4753
SC-05,0.4703
SC-06,0.6213
SC-07,0.4326
SD-01,0.4185
TN-01,0.4399
TN-02,0.4773
TN-03,0.465
TN-04,0.4604
TN-05,0.5293
TN-06,0.4729
TN-07,0.4277
TN-08,0.4183
TN-09,0.6496
TX-01,0.4275
TX-02,0.4971
TX-03,0.5208
TX-04,0.4852
TX-05,0.4411
TX-06,0.449
TX-07,0.4835
TX-08,0.4749
TX-09,0.4978
TX-10,0.4387
TX-11,0.4514
TX-12,0.4408
TX-13,0.4622
TX-14,0.4602
TX-15,0.4686
TX-16,0.506
TX-17,0.4614
TX-18,0.5112
TX-19,0.4009
TX-20,0.4933
TX-21,0.475
TX-22,0.4942
TX-23,0.461
TX-24,0.5056
TX-25,0.4874
TX-26,0.4994
TX-27,0.4791
TX-28,0.4725
TX-29,0.4915
TX-30,0.5365
TX-31,0.459
TX-32,0.4875
TX-33,0.4504
TX-34,0.4744
TX-35,0.5163
TX-36,0.4161
UT-01,0.331
UT-02,0.446
UT-03,0.348
UT-04,0.4755
VT-01,0.4914
VA-01,0.5111
VA-02,0.5195
VA-03,0.5853
VA-04,0.5544
VA-05,0.4605
VA-06,0.4825
VA-07,0.4815
VA-08,0.4908
VA-09,0.4505
VA-10,0.5485
VA-11,0.4799
WA-01,0.5159
WA-02,0.5598
WA-03,0.4849
WA-04,0.4754
WA-05,0.4825
WA-06,0.5201
WA-07,0.5768
WA-08,0.5084
WA-09,0.5084
WA-10,0.5705
WV-01,0.346
WV-02,0.451
WV-03,0.503
WI-01,0.5305
WI-02,0.4961
WI-03,0.53
WI-04,0.525
WI-05,0.4673
WI-06,0.5663
WI-07,0.5551
WI-08,0.5134
WY-01,0.4878
